tweet_id,text,equity,corrupt,purity,degradation,loyalty,care,cheating,betrayal,sabotage,authority,harm
2.05E+16,you have done more in months to make us want to question our citizenship of any time in the history of the us you are deplorable,0,0,0,0,0,0,0,1,1,0,0
7.01E+16,that is what wants unchecked power for himself and the dissolution of our democratic ideals and most sacred institutions for his personal gain and ultimate authority resist,0,1,0,0,0,0,0,0,1,0,0
2.63E+17,dear god please protect the at user frankenstorm,0,0,0,0,0,1,0,0,0,0,1
6.36E+17,the bearded patriot beardcast at soundcloud libertarian rebuild liberty freedomretweet all lives matter,0,1,0,0,0,1,0,0,0,0,0
5.21E+17,surah all baqara verse fain would they deceive allah and those who believe but they only deceive themselves and realise it not,0,0,0,0,0,0,1,1,0,0,0
2.59E+17,followfriday newark nj mayor at user his dedication to the city and humor are of many reasons to make him a top priority to follow,0,1,0,0,0,0,0,0,0,1,0
5.95E+17,truth hurts all lives matter,0,1,0,1,0,0,0,0,0,0,1
2.64E+17,mittromney no taxes for yrs mormon loophole url at user at user at user at user at user at user at user sandy,0,1,0,0,0,0,0,0,0,0,0
5.90E+17,freddie gray was muscular wld take a lot of force repeated blows sever spine bpd must ve struck him with object,0,1,0,0,0,0,0,0,0,0,1
5.51E+16,a stormy daniels situation donald trump is porn star non scandal is this an accurate story,0,1,0,0,0,0,1,0,0,0,0
